set,scene,scene_key,prim_count,heuristic,seed,measurement,run,value_ms
B,Stanford Dragon,dragon_50k,50000,Random,2,build,2,17.166300
B,Stanford Dragon,dragon_50k,50000,Random,2,build,3,17.759300
B,Stanford Dragon,dragon_50k,50000,Random,2,build,4,16.565600
B,Stanford Dragon,dragon_50k,50000,Random,2,build,5,19.787100
B,Stanford Dragon,dragon_50k,50000,Random,2,render,1,1561.147240
B,Stanford Dragon,dragon_50k,50000,Random,2,render,2,1554.488680
B,Stanford Dragon,dragon_50k,50000,Random,2,render,3,523.631880
B,Stanford Dragon,dragon_50k,50000,Random,2,render,4,1553.741000
B,Stanford Dragon,dragon_50k,50000,Random,2,render,5,1562.088640
B,Stanford Dragon,dragon_50k,50000,Random,3,build,1,14.789400
B,Stanford Dragon,dragon_50k,50000,Random,3,build,2,17.499300
B,Stanford Dragon,dragon_50k,50000,Random,3,build,3,17.278900
B,Stanford Dragon,dragon_50k,50000,Random,3,build,4,15.121900
B,Stanford Dragon,dragon_50k,50000,Random,3,build,5,15.091400
B,Stanford Dragon,dragon_50k,50000,Random,3,render,1,1673.553920
B,Stanford Dragon,dragon_50k,50000,Random,3,render,2,1680.047240
B,Stanford Dragon,dragon_50k,50000,Random,3,render,3,1676.944880
B,Stanford Dragon,dragon_50k,50000,Random,3,render,4,1564.768560
B,Stanford Dragon,dragon_50k,50000,Random,3,render,5,1673.616600
B,Stanford Dragon,dragon_50k,50000,Random,4,build,1,14.527500
B,Stanford Dragon,dragon_50k,50000,Random,4,build,2,14.873500
B,Stanford Dragon,dragon_50k,50000,Random,4,build,3,17.177500
B,Stanford Dragon,dragon_50k,50000,Random,4,build,4,14.760700
B,Stanford Dragon,dragon_50k,50000,Random,4,build,5,15.135200
B,Stanford Dragon,dragon_50k,50000,Random,4,render,1,1720.785560
B,Stanford Dragon,dragon_50k,50000,Random,4,render,2,1712.364760
B,Stanford Dragon,dragon_50k,50000,Random,4,render,3,1723.665720
B,Stanford Dragon,dragon_50k,50000,Random,4,render,4,1721.878600
B,Stanford Dragon,dragon_50k,50000,Random,4,render,5,1685.146280
B,Stanford Dragon,dragon_50k,50000,Random,5,build,1,15.517700
B,Stanford Dragon,dragon_50k,50000,Random,5,build,2,15.711300
B,Stanford Dragon,dragon_50k,50000,Random,5,build,3,15.708000
B,Stanford Dragon,dragon_50k,50000,Random,5,build,4,17.912500
B,Stanford Dragon,dragon_50k,50000,Random,5,build,5,15.598100
B,Stanford Dragon,dragon_50k,50000,Random,5,render,1,1742.663040
B,Stanford Dragon,dragon_50k,50000,Random,5,render,2,1755.606840
B,Stanford Dragon,dragon_50k,50000,Random,5,render,3,1741.386440
B,Stanford Dragon,dragon_50k,50000,Random,5,render,4,1743.396280
B,Stanford Dragon,dragon_50k,50000,Random,5,render,5,1737.982280
B,Stanford Dragon,dragon_150k,150000,LongestAxisCentroid,-,build,1,43.055800
B,Stanford Dragon,dragon_150k,150000,LongestAxisCentroid,-,build,2,49.760400
B,Stanford Dragon,dragon_150k,150000,LongestAxisCentroid,-,build,3,42.512800
B,Stanford Dragon,dragon_150k,150000,LongestAxisCentroid,-,build,4,42.979200
